title,author,genre,year,rating,age_rating,completion,price,formats,region
The Dragon Reborn (Wheel of Time #3),Robert Jordan,Fantasy,1991,4.3,Teen,"Series Completed",10.99,"Print,Ebook",Worldwide
The Shadow Rising (Wheel of Time #4),Robert Jordan,Fantasy,1992,4.4,Teen,"Series Completed",11.99,"Print,Ebook",Worldwide
The Fires of Heaven (Wheel of Time #5),Robert Jordan,Fantasy,1993,4.3,Teen,"Series Completed",11.99,"Print,Ebook",Worldwide
Lord of Chaos (Wheel of Time #6),Robert Jordan,Fantasy,1994,4.4,Teen,"Series Completed",12.99,"Print,Ebook",Worldwide
A Crown of Swords (Wheel of Time #7),Robert Jordan,Fantasy,1996,4.2,Teen,"Series Completed",12.99,"Print,Ebook",Worldwide
Empire of Silence (Sun Eater #1),Christopher Ruocchio,Sci-Fi,2018,4.2,Mature,"Series Ongoing",14.99,"Print,Ebook,Audiobook",Worldwide
Howling Dark (Sun Eater #2),Christopher Ruocchio,Sci-Fi,2019,4.3,Mature,"Series Ongoing",15.99,"Print,Ebook,Audiobook",Worldwide
Demon in White (Sun Eater #3),Christopher Ruocchio,Sci-Fi,2020,4.4,Mature,"Series Ongoing",15.99,"Print,Ebook,Audiobook",Worldwide
Kingdoms of Death (Sun Eater #4),Christopher Ruocchio,Sci-Fi,2021,4.3,Mature,"Series Ongoing",16.99,"Print,Ebook,Audiobook",Worldwide
Ashes of Man (Sun Eater #5),Christopher Ruocchio,Sci-Fi,2022,4.4,Mature,"Series Ongoing",16.99,"Print,Ebook,Audiobook",Worldwide
1984,George Orwell,Dystopian,1949,4.2,Mature,Standalone,9.99,"Print,Ebook,Audiobook",Worldwide
Animal Farm,George Orwell,Political Satire,1945,4.0,Mature,Standalone,8.99,"Print,Ebook",Worldwide
The Hobbit,J.R.R. Tolkien,Fantasy,1937,4.3,All Ages,Standalone,12.99,"Print,Ebook,Audiobook",Worldwide
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,1954,4.4,All Ages,"Series Completed",13.99,"Print,Ebook,Audiobook",Worldwide
The Two Towers,J.R.R. Tolkien,Fantasy,1954,4.4,All Ages,"Series Completed",13.99,"Print,Ebook,Audiobook",Worldwide
The Return of the King,J.R.R. Tolkien,Fantasy,1955,4.5,All Ages,"Series Completed",14.99,"Print,Ebook,Audiobook",Worldwide
Dune,Frank Herbert,Sci-Fi,1965,4.3,Teen,"Series Completed",10.99,"Print,Ebook",Worldwide
Dune Messiah,Frank Herbert,Sci-Fi,1969,4.0,Teen,"Series Completed",11.99,"Print,Ebook",Worldwide
Children of Dune,Frank Herbert,Sci-Fi,1976,4.1,Teen,"Series Completed",11.99,"Print,Ebook",Worldwide
The Martian,Andy Weir,Sci-Fi,2011,4.4,Teen,Standalone,14.99,"Ebook,Audiobook",Worldwide
Project Hail Mary,Andy Weir,Sci-Fi,2021,4.6,Teen,Standalone,15.99,"Print,Ebook,Audiobook",Worldwide
Educated,Tara Westover,Memoir,2018,4.5,Mature,Standalone,13.99,"Print,Ebook,Audiobook",Worldwide
Where the Crawdads Sing,Delia Owens,Fiction,2018,4.4,Teen,Standalone,13.99,"Print,Ebook",Worldwide
Sapiens,Yuval Noah Harari,History,2011,4.4,Teen,Standalone,15.99,"Print,Ebook,Audiobook",Worldwide
Homo Deus,Yuval Noah Harari,History,2015,4.2,Teen,Standalone,16.99,"Print,Ebook,Audiobook",Worldwide
The Silent Patient,Alex Michaelides,Thriller,2019,4.2,Mature,Standalone,12.99,"Ebook,Audiobook",Worldwide
The Maidens,Alex Michaelides,Thriller,2021,4.0,Mature,Standalone,13.99,"Ebook,Audiobook",Worldwide
The Name of the Wind,Patrick Rothfuss,Fantasy,2007,4.5,Teen,"Series Ongoing",11.99,"Print,Ebook",Worldwide
The Wise Man's Fear,Patrick Rothfuss,Fantasy,2011,4.5,Teen,"Series Ongoing",13.99,"Print,Ebook",Worldwide
Good Omens,Neil Gaiman & Terry Pratchett,Fantasy,1990,4.3,Teen,Standalone,10.99,"Print,Ebook,Audiobook",Worldwide
American Gods,Neil Gaiman,Fantasy,2001,4.1,Mature,Standalone,12.99,"Print,Ebook,Audiobook",Worldwide
The Handmaid's Tale,Margaret Atwood,Dystopian,1985,4.2,Mature,Standalone,11.99,"Print,Ebook",Worldwide
The Testaments,Margaret Atwood,Dystopian,2019,4.0,Mature,Standalone,14.99,"Print,Ebook,Audiobook",Worldwide
Brave New World,Aldous Huxley,Dystopian,1932,4.0,Mature,Standalone,10.99,"Print,Ebook",Worldwide
Fahrenheit 451,Ray Bradbury,Dystopian,1953,4.1,Mature,Standalone,9.99,"Print,Ebook",Worldwide
The Road,Cormac McCarthy,Post-Apocalyptic,2006,4.0,Mature,Standalone,11.99,"Print,Ebook",Worldwide
Station Eleven,Emily St. John Mandel,Post-Apocalyptic,2014,4.1,Teen,Standalone,12.99,"Print,Ebook,Audiobook",Worldwide
